#{"t_start": 1650950672.8170767, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1041,637,1699.702865
651,324,1700.923982
1417,742,1703.138714
652,314,1704.184965
609,230,1704.889175
1346,623,1707.309756
1321,638,1709.39895
1341,855,1712.317982
639,330,1713.500078
246,108,1713.978771
1325,541,1715.786292
616,240,1716.520334
250,118,1716.810559
1422,730,1719.272746
1043,749,1721.783777
3037,1687,1727.440839
1314,757,1730.012164
249,108,1730.441016
623,258,1731.251979
734,500,1732.85286
623,306,1734.044905
248,108,1734.330812
731,472,1736.323929
1048,663,1738.489974
1413,930,1741.719262
615,240,1742.487303
1046,684,1744.698579
1345,593,1746.698489
1320,640,1749.038951
1563,880,1751.925898
613,242,1752.700821
1042,601,1754.767693
1317,832,1757.523759
614,394,1758.852861
252,106,1759.279972
251,112,1759.563725
631,322,1760.770746
1041,618,1762.813303
604,412,1764.153574
237,130,1764.665491
776,572,1766.620099
629,300,1767.618833
1347,666,1770.338492
1062,634,1772.449776
236,120,1772.764944
629,270,1773.78181
636,318,1774.841498
233,130,1775.344328
1345,648,1777.493629
608,240,1778.274826
1318,791,1780.949288
610,228,1781.899063
1034,717,1784.265256
1424,692,1786.692514
1041,764,1789.207818
1024,987,1792.544681
745,518,1794.355327
817,520,1796.263694
1690,924,1799.319826
1056,509,1801.103972
1311,1023,1804.616141
1412,882,1807.595643
1041,649,1809.975237
248,108,1810.259618
618,242,1811.036618
632,316,1812.172546
1040,562,1814.092562
1308,1033,1817.621403
1920,880,1820.560365
249,108,1820.985858
813,604,1823.210419
1061,643,1825.343007
249,108,1825.782552
1322,757,1828.23922
237,126,1828.727912
616,244,1829.59414
640,558,1831.515917
1040,645,1833.666964
624,258,1834.645881
1042,560,1836.469182
625,292,1837.533714
635,358,1838.775683
622,376,1840.053669
237,136,1840.40274
1334,711,1842.93332
814,590,1845.059546
816,544,1846.7964
1332,733,1849.328251
611,294,1850.475913
251,114,1850.770124
620,312,1851.882053
1338,662,1854.06596
1342,662,1856.339489
1126,1178,1860.618222
1425,832,1863.474815
1041,590,1865.554917
1044,729,1868.07695
238,128,1868.565592
1048,531,1870.27795
246,108,1870.788781
720,478,1872.372983
1041,653,1874.670056
1431,654,1876.67522
1352,651,1878.683776
620,302,1879.812505
1061,624,1881.634697
1577,816,1884.336114
1056,823,1887.167314
3033,1778,1893.335863
249,108,1893.647562
1420,922,1896.771217
1053,543,1898.543012
251,106,1898.807306
1158,610,1900.855802
624,320,1901.84642
815,564,1903.646356
1041,615,1905.721775
818,508,1907.141506
621,300,1908.106675
1331,855,1910.886272
607,374,1912.226883
639,576,1913.922571
236,124,1914.34753
1031,846,1917.103365
1064,679,1919.055471
615,266,1919.942042
617,362,1921.107473
1352,553,1922.845714
1040,829,1925.864661
1339,715,1928.498202
651,324,1929.384351
1318,855,1932.164487
809,692,1934.389505
1067,603,1936.285443
654,274,1937.342605
652,304,1938.485635
1317,703,1940.923537
624,316,1941.89368
1324,951,1945.18359
654,274,1946.077538
723,654,1948.404377
1050,464,1949.983309
1339,755,1952.55951
609,228,1953.297097
1050,456,1954.788139
231,130,1955.281831
1039,657,1957.541659
732,392,1958.874035
1037,868,1961.591633
736,296,1962.526055
1307,880,1965.310414
1903,1040,1968.712459
1050,475,1970.139747
1416,812,1972.972187
245,112,1973.40878
1320,651,1975.550304
1324,553,1977.54054
