#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1404,1080,1081.046478
242,124,1081.384573
612,232,1082.415835
1932,830,1085.269878
1042,650,1087.625127
631,292,1088.662769
1583,674,1091.277452
1155,620,1093.602246
617,330,1094.829183
235,134,1095.203366
231,138,1095.936417
232,128,1096.426106
1048,694,1098.884344
1037,717,1101.517051
1339,586,1103.579362
622,332,1104.675294
619,248,1105.763699
1041,632,1107.992904
628,360,1109.315986
637,320,1110.708418
621,300,1111.826524
1073,475,1113.676578
607,274,1114.745693
638,294,1115.830468
745,462,1117.510043
1690,776,1120.468542
1054,530,1122.359641
1152,612,1124.636083
1067,526,1126.497122
252,106,1127.104632
1045,573,1129.130166
1045,531,1131.15276
613,272,1132.049702
247,120,1132.388795
245,112,1133.030268
631,324,1134.206017
235,124,1134.548131
738,658,1137.087298
611,270,1137.993808
1419,944,1141.514731
604,342,1142.599828
1332,575,1144.747746
1434,608,1147.142698
604,340,1148.44943
252,106,1149.053963
1046,550,1150.862149
636,298,1151.965872
1045,551,1154.044072
1057,750,1156.781831
652,310,1157.937526
1327,761,1160.75509
635,352,1161.879854
611,234,1162.986664
637,344,1164.093683
734,434,1165.814126
812,626,1167.995324
611,374,1169.544417
1043,592,1171.745681
252,106,1172.04887
1049,444,1173.571209
635,272,1174.601752
248,110,1174.917906
1048,480,1177.03226
1695,924,1180.721007
633,330,1181.927858
611,236,1182.930364
729,496,1184.828397
632,268,1185.749692
614,380,1187.283756
1046,524,1189.165127
611,232,1190.089036
1349,553,1192.038114
1331,705,1194.673463
637,316,1195.704367
252,106,1196.162863
1041,679,1198.834508
251,112,1199.297194
605,298,1200.450505
1048,537,1203.310055
612,322,1204.855489
252,106,1205.202655
601,274,1206.223149
819,486,1207.839925
1346,650,1210.322876
815,578,1212.556555
237,136,1213.084156
1337,715,1216.14995
236,126,1216.54391
1039,621,1218.823003
1190,570,1220.579892
1035,727,1223.489242
612,404,1225.290555
619,374,1226.875124
1047,537,1228.690536
249,108,1229.143543
1061,663,1232.262995
1042,620,1234.256031
246,120,1234.79739
1335,715,1236.930529
637,292,1237.998677
626,322,1239.429504
606,270,1240.175327
250,116,1240.552319
613,330,1241.41714
612,390,1242.744301
238,128,1243.194823
1043,737,1245.888741
248,106,1246.136392
235,128,1246.695745
252,106,1247.021873
241,120,1247.502676
1046,529,1249.668062
636,360,1250.836748
1334,781,1254.301224
251,112,1254.795902
1048,504,1256.623824
1147,668,1258.890102
634,346,1260.111733
250,106,1260.6684
616,292,1261.764471
2622,1640,1268.197269
1038,713,1270.64597
654,274,1271.65248
253,116,1271.962376
1041,563,1274.025375
808,710,1276.612254
252,106,1276.8945
247,108,1277.31263
621,282,1278.20242
1045,576,1280.281512
617,266,1281.110539
1052,470,1282.869623
234,140,1283.242713
1333,559,1285.647877
721,534,1287.618598
1031,833,1290.615385
611,234,1291.407556
635,300,1292.495085
609,260,1293.317392
745,442,1294.888396
1697,696,1297.360973
622,250,1298.321329
614,290,1299.215309
1042,569,1301.134271
611,268,1302.153102
1051,449,1304.147493
626,280,1305.024519
628,292,1306.070433
625,252,1307.043813
748,470,1308.604846
652,308,1309.802635
1054,539,1311.952566
236,136,1312.415329
735,530,1314.44113
1344,697,1316.906831
1045,576,1319.044564
234,128,1319.500504
651,338,1320.676659
250,108,1320.964039
613,296,1322.175834
758,458,1323.633749
245,108,1323.95015
630,358,1325.204784
628,284,1326.452408
627,314,1327.412844
235,124,1327.872982
1061,631,1329.955947
637,610,1332.17387
1340,701,1334.723737
816,542,1336.434126
631,294,1337.532074
622,286,1338.41141
249,116,1339.315263
238,134,1339.874942
253,116,1340.194624
1425,624,1342.724971
239,118,1343.155003
1040,601,1345.267061
627,342,1346.466594
250,110,1346.763239
1331,883,1350.138952
1317,709,1352.736871
245,112,1353.179255
249,114,1353.486466
1146,710,1356.170552
817,536,1357.907225
1041,673,1360.40997
1425,740,1363.248663
810,678,1365.6342
